Timestamp,"MCSS.MA8240
Apparent Power
(kVA)","MCSS.MA8240
Current Avg
(A)","MCSS.MA8240
Power Factor
(%)","MCSS.MA8240
Real Power
(kW)",,,,,,,,,,,,,,,,,,
9/15/2020 13:00,"7,140.45",324.56,,"-7,085.39",,,,,,,,,,,,,,,,,,
9/15/2020 13:15,"7,143.84",324.6,,"-7,093.48",,,,,,,,,,,,,,,,,,
9/15/2020 13:30,"7,253.58",329.38,,"-7,201.83",,,,,,,,,,,,,,,,,,
9/15/2020 13:45,"7,415.21",337.27,,"-7,363.17",,,,,,,,,,,,,,,,,,
9/15/2020 14:00,"7,388.66",336.19,,"-7,337.90",,,,,,,,,,,,,,,,,,
9/15/2020 14:15,"7,448.78",339.03,,"-7,399.33",,,,,,,,,,,,,,,,,,
9/15/2020 14:30,"7,461.82",337.71,,"-7,400.40",,,,,,,,,,,,,,,,,,
9/15/2020 14:45,"7,412.95",335.68,,"-7,359.05",,,,,,,,,,,,,,,,,,
9/15/2020 15:00,"3,684.53",165.57,,"-3,647.53",,,,,,,,,,,,,,,,,,
9/15/2020 15:15,"4,099.72",184.3,,"-4,068.66",,,,,,,,,,,,,,,,,,
9/15/2020 15:30,"3,987.71",179.21,,"-3,956.61",,,,,,,,,,,,,,,,,,
9/15/2020 15:45,"4,090.68",183.91,,"-4,061.68",,,,,,,,,,,,,,,,,,
9/15/2020 16:00,"4,079.92",183.34,,"-4,050.55",,,,,,,,,,,,,,,,,,
9/15/2020 16:15,"3,950.51",177.65,,"-3,918.06",,,,,,,,,,,,,,,,,,
9/15/2020 16:30,"3,625.58",162.97,,"-3,588.75",,,,,,,,,,,,,,,,,,
9/15/2020 16:45,"3,572.13",160.46,,"-3,535.71",,,,,,,,,,,,,,,,,,
9/15/2020 17:00,"3,547.38",159.19,,"-3,510.46",,,,,,,,,,,,,,,,,,
9/15/2020 17:15,"3,600.06",161.46,,"-3,565.94",,,,,,,,,,,,,,,,,,
9/15/2020 17:30,"3,588.48",160.82,,"-3,551.08",,,,,,,,,,,,,,,,,,
9/15/2020 17:45,"3,599.25",161.26,,"-3,561.34",,,,,,,,,,,,,,,,,,
9/15/2020 18:00,"3,648.07",163.36,,"-3,613.42",,,,,,,,,,,,,,,,,,
9/15/2020 18:15,"3,633.34",162.6,,"-3,596.17",,,,,,,,,,,,,,,,,,
9/15/2020 18:30,"3,646.38",163.07,,"-3,609.58",,,,,,,,,,,,,,,,,,
9/15/2020 18:45,"3,647.71",162.98,,"-3,611.54",,,,,,,,,,,,,,,,,,
9/15/2020 19:00,"3,585.81",159.89,,"-3,547.35",,,,,,,,,,,,,,,,,,
